title,price,item_id,genres_Action,genres_Adventure,genres_Free to Play,t_recom,t_sent_neg,t_sent_pos
serious sam classic: the second encounter,9.99,41060,1,0,0,1,0,1
serious sam classic: the second encounter,9.99,41060,0,0,0,1,0,1
blade kitten,2.99,9940,1,0,0,1,0,1
blade kitten,2.99,9940,0,1,0,1,0,1
alien breed 2: assault,9.99,22650,1,0,0,1,2,0
darksiders™,19.99,50620,1,0,0,7,1,7
darksiders™,19.99,50620,0,1,0,7,1,7
the kings' crusade,9.99,42920,0,0,0,0,1,1
age of wonders,5.99,61500,0,0,0,1,0,1
medal of honor™,19.99,47790,1,0,0,8,3,9
lost planet® 2,19.99,45750,1,0,0,1,0,1
lost planet® 2,19.99,45750,0,1,0,1,0,1
fallout: new vegas,9.99,22380,1,0,0,151,21,135
fallout: new vegas,9.99,22380,0,0,0,151,21,135
deathspank,14.99,18040,1,0,0,1,1,0
deathspank,14.99,18040,0,0,0,1,1,0
shank,9.99,6120,1,0,0,1,1,0
shank,9.99,6120,0,0,0,1,1,0
the ball,9.99,35460,1,0,0,0,2,0
the ball,9.99,35460,0,1,0,0,2,0
the ball,9.99,35460,0,0,0,0,2,0
star wars™: the force unleashed™ ii,19.99,32500,1,0,0,3,2,4
flight control hd,4.99,62000,1,0,0,1,0,1
flight control hd,4.99,62000,0,0,0,1,0,1
bit.trip beat,9.99,63700,1,0,0,1,0,1
bit.trip beat,9.99,63700,0,0,0,1,0,1
pound of ground,9.99,33980,1,0,0,0,0,1
fish fillets 2,4.99,33950,0,0,0,0,1,0
call of duty®: black ops,39.99,42700,1,0,0,31,4,29
oddworld: stranger's wrath hd,9.99,15750,1,0,0,4,0,4
oddworld: stranger's wrath hd,9.99,15750,0,1,0,4,0,4
oddworld: stranger's wrath hd,9.99,15750,0,0,0,4,0,4
back to the future: the game,19.99,31290,0,1,0,6,1,5
grand theft auto iii,9.99,12100,1,0,0,5,0,5
grand theft auto: san andreas,14.99,12120,1,0,0,31,2,33
grand theft auto: vice city,9.99,12110,1,0,0,15,1,14
a.r.e.s.: extinction agenda,4.99,92300,1,0,0,2,0,2
a.r.e.s.: extinction agenda,4.99,92300,0,0,0,2,0,2
apox,14.99,80000,1,0,0,1,0,1
apox,14.99,80000,0,0,0,1,0,1
dead space™ 2,19.99,47780,1,0,0,3,2,1
monday night combat,4.99,63200,1,0,0,3,0,3
monday night combat,4.99,63200,0,0,0,3,0,3
streets of rage 2,2.99,71165,1,0,0,1,0,1
the sims™ 3,19.99,47890,0,0,0,18,8,12
trino,4.99,42000,0,0,0,0,1,0
two worlds ii hd,19.99,7520,0,0,0,3,1,4
test drive unlimited 2,19.99,9930,0,0,0,6,1,6
bit.trip runner,9.99,63710,1,0,0,15,4,16
bit.trip runner,9.99,63710,0,0,0,15,4,16
homefront,19.99,55100,1,0,0,6,1,5
rift,0.0,39120,0,0,1,27,0,30
rift,0.0,39120,0,0,0,27,0,30
dinner date,3.99,94000,0,0,0,4,1,4
shadow harvest: phantom ops,9.99,92700,1,0,0,0,1,0
anomaly: warzone earth,9.99,91200,1,0,0,1,1,1
anomaly: warzone earth,9.99,91200,0,0,0,1,1,1
darkest hour: a hearts of iron game,9.99,73170,0,0,0,2,1,1
dino d-day,9.99,70000,1,0,0,54,15,44
dino d-day,9.99,70000,0,0,0,54,15,44
portal 2,19.99,620,1,0,0,341,23,321
portal 2,19.99,620,0,1,0,341,23,321
sanctum,9.99,91600,1,0,0,9,0,9
sanctum,9.99,91600,0,0,0,9,0,9
majesty 2 collection,19.99,73020,0,0,0,1,0,1
frozen synapse,24.99,98200,0,0,0,9,1,9
hunted: the demon’s forge™,4.99,22450,1,0,0,1,0,1
hunted: the demon’s forge™,4.99,22450,0,1,0,1,0,1
hamilton's great adventure,9.99,42140,0,1,0,1,0,1
hamilton's great adventure,9.99,42140,0,0,0,1,0,1
dungeon siege iii,14.99,39160,1,0,0,2,0,2
dungeon siege iii,14.99,39160,0,0,0,2,0,2
duke nukem forever,19.99,57900,1,0,0,9,1,9
a.v.a. alliance of valiant arms™,0.0,102700,1,0,0,4,4,6
a.v.a. alliance of valiant arms™,0.0,102700,0,0,1,4,4,6
champions online,0.0,9880,0,0,1,2,0,3
champions online,0.0,9880,0,0,0,2,0,3
magic: the gathering - duels of the planeswalkers 2012,19.99,49470,0,0,0,2,0,2
solar 2,9.99,97000,0,0,0,6,0,6
f.e.a.r. 3,19.99,21100,1,0,0,7,4,6
dungeons and dragons: daggerdale,14.99,99100,1,0,0,0,1,0
dungeons and dragons: daggerdale,14.99,99100,0,0,0,0,1,0
puzzle agent 2,9.99,94590,0,1,0,2,1,1
puzzle agent 2,9.99,94590,0,0,0,2,1,1
tobe's vertical adventure,0.99,105700,1,0,0,1,0,1
tobe's vertical adventure,0.99,105700,0,1,0,1,0,1
tobe's vertical adventure,0.99,105700,0,0,0,1,0,1
fallout new vegas: old world blues,4.99,72750,1,0,0,1,1,0
fallout new vegas: old world blues,4.99,72750,0,0,0,1,1,0
lucid,4.99,61100,0,0,0,1,1,0
arma: cold war assault,4.99,65790,1,0,0,4,2,9
arma: cold war assault,4.99,65790,0,0,0,4,2,9
tropico 4,14.99,57690,0,0,0,21,1,20
edge,6.99,38740,1,0,0,4,1,3
edge,6.99,38740,0,0,0,4,1,3
space pirates and zombies,9.99,107200,1,0,0,4,0,5
space pirates and zombies,9.99,107200,0,0,0,4,0,5
puzzle pirates,0.0,99910,0,1,0,3,1,3
puzzle pirates,0.0,99910,0,0,0,3,1,3
puzzle pirates,0.0,99910,0,0,1,3,1,3
"warhammer 40,000: space marine",29.99,55150,1,0,0,8,1,8
men of war: vietnam,7.99,63940,0,0,0,0,1,0
hard reset extended edition,14.99,98400,1,0,0,8,3,5
hard reset extended edition,14.99,98400,0,0,0,8,3,5
rock of ages,9.99,22230,1,0,0,5,3,2
rock of ages,9.99,22230,0,0,0,5,3,2
red orchestra 2: heroes of stalingrad with rising storm,19.99,35450,1,0,0,86,13,76
red orchestra 2: heroes of stalingrad with rising storm,19.99,35450,0,0,0,86,13,76
sengoku,9.99,73210,0,0,0,1,0,1
bunch of heroes,4.99,111400,1,0,0,1,1,0
bunch of heroes,4.99,111400,0,0,0,1,1,0
supreme commander: forged alliance,14.99,9420,0,0,0,9,0,9
the binding of isaac,4.99,113200,1,0,0,180,30,154
the binding of isaac,4.99,113200,0,1,0,180,30,154
the binding of isaac,4.99,113200,0,0,0,180,30,154
off-road drive,4.99,200230,0,0,0,1,0,2
supreme commander,14.99,9350,0,0,0,4,1,3
dead rising 2: off the record,19.99,45770,1,0,0,4,4,1
dead rising 2: off the record,19.99,45770,0,1,0,4,4,1
costume quest,9.99,115100,0,1,0,2,0,2
costume quest,9.99,115100,0,0,0,2,0,2
serious sam: the random encounter,4.99,201480,1,0,0,1,0,1
serious sam: the random encounter,4.99,201480,0,0,0,1,0,1
dc universe™ online,0.0,24200,1,0,0,58,4,61
dc universe™ online,0.0,24200,0,1,0,58,4,61
dc universe™ online,0.0,24200,0,0,1,58,4,61
dc universe™ online,0.0,24200,0,0,0,58,4,61
sonic generations collection,19.99,71340,1,0,0,7,3,5
l.a. noire,19.99,110800,0,1,0,14,3,12
l.a. noire,19.99,110800,0,0,0,14,3,12
fractal: make blooms not war,6.99,61310,0,0,0,1,0,1
real warfare 1242,3.99,46350,0,0,0,0,0,1
galactic civilizations® ii: ultimate edition,19.99,202200,0,0,0,3,1,3
apb reloaded,0.0,113400,1,0,0,86,18,97
apb reloaded,0.0,113400,0,0,1,86,18,97
apb reloaded,0.0,113400,0,0,0,86,18,97
flatout 3: chaos &amp; destruction,9.99,201510,0,0,0,1,2,0
earth defense force: insect armageddon,9.99,23530,1,0,0,2,1,1
x3: albion prelude,9.99,201310,1,0,0,1,1,0
x3: albion prelude,9.99,201310,0,0,0,1,1,0
trine 2: complete story,19.99,35720,1,0,0,28,3,25
trine 2: complete story,19.99,35720,0,1,0,28,3,25
trine 2: complete story,19.99,35720,0,0,0,28,3,25
fable - the lost chapters,9.99,204030,1,0,0,9,0,10
fable - the lost chapters,9.99,204030,0,1,0,9,0,10
fable - the lost chapters,9.99,204030,0,0,0,9,0,10
serious sam 2,9.99,204340,1,0,0,7,3,7
serious sam 2,9.99,204340,0,0,0,7,3,7
star trek online,0.0,9900,0,0,1,21,4,24
star trek online,0.0,9900,0,0,0,21,4,24
jagged alliance - back in action,19.99,57740,0,0,0,1,1,1
pixeljunk™ eden,9.99,105800,1,0,0,1,0,1
pixeljunk™ eden,9.99,105800,0,0,0,1,0,1
titan attacks!,9.99,203210,1,0,0,2,0,3
titan attacks!,9.99,203210,0,0,0,2,0,3
crusader kings ii,39.99,203770,0,0,0,47,11,38
alan wake,9.99,108710,1,0,0,24,4,20
alan wake,9.99,108710,0,1,0,24,4,20
postal iii,11.99,10220,1,0,0,1,2,3
realm of the mad god,0.0,200210,1,0,0,164,40,151
realm of the mad god,0.0,200210,0,0,1,164,40,151
realm of the mad god,0.0,200210,0,0,0,164,40,151
saints row: the third - gangstas in space,6.99,55381,1,0,0,1,0,1
rayman® origins,19.99,207490,1,0,0,2,1,2
rayman® origins,19.99,207490,0,1,0,2,1,2
vessel,19.99,108500,1,0,0,1,0,1
vessel,19.99,108500,0,0,0,1,0,1
ibomber defense pacific,4.99,206690,0,0,0,1,0,1
stacking,9.99,115110,0,1,0,1,0,1
stacking,9.99,115110,0,0,0,1,0,1
wizorb,2.99,207420,1,0,0,1,0,1
wizorb,2.99,207420,0,1,0,1,0,1
wizorb,2.99,207420,0,0,0,1,0,1
jane's advanced strike fighters,9.99,207790,0,0,0,1,0,1
cubemen,3.99,207250,0,0,0,5,1,4
waveform,1.99,204180,0,1,0,4,1,4
waveform,1.99,204180,0,0,0,4,1,4
warp,9.99,102850,1,0,0,1,0,1
warp,9.99,102850,0,1,0,1,0,1
warp,9.99,102850,0,0,0,1,0,1
3switched,9.99,206610,0,0,0,0,0,1
ridge racer™ unbounded,9.99,202310,0,0,0,2,0,2
"hack, slash, loot",6.99,207430,0,0,0,0,0,1
risen 2: dark waters,9.99,40390,0,0,0,2,1,2
binary domain,14.99,203750,1,0,0,3,1,3
analogue: a hate story,9.99,209370,0,0,0,5,1,4
toy soldiers,9.99,98300,1,0,0,1,0,1
toy soldiers,9.99,98300,0,0,0,1,0,1
resident evil: operation raccoon city,29.99,209100,1,0,0,1,2,1
ticket to ride,9.99,108200,0,0,0,1,0,1
ys origin,19.99,207350,1,0,0,1,0,1
ys origin,19.99,207350,0,1,0,1,0,1
ys origin,19.99,207350,0,0,0,1,0,1
max payne 3,19.99,204100,1,0,0,36,5,36
the lord of the rings online™,0.0,212500,0,0,1,16,3,13
the lord of the rings online™,0.0,212500,0,0,0,16,3,13
splice,9.99,209790,0,0,0,1,0,1
indie game: the movie,9.99,207080,0,0,0,5,0,6
krater,14.99,42170,1,0,0,1,0,1
krater,14.99,42170,0,1,0,1,0,1
krater,14.99,42170,0,0,0,1,0,1
lego® batman 2 dc super heroes™,19.99,213330,1,0,0,5,1,5
lego® batman 2 dc super heroes™,19.99,213330,0,1,0,5,1,5
vindictus,0.0,212160,1,0,0,22,3,22
vindictus,0.0,212160,0,1,0,22,3,22
vindictus,0.0,212160,0,0,1,22,3,22
vindictus,0.0,212160,0,0,0,22,3,22
the dark eye: chains of satinav,19.99,203830,0,1,0,2,0,2
the dark eye: chains of satinav,19.99,203830,0,0,0,2,0,2
dungeons &amp; dragons online®,0.0,206480,1,0,0,5,0,5
dungeons &amp; dragons online®,0.0,206480,0,1,0,5,0,5
dungeons &amp; dragons online®,0.0,206480,0,0,1,5,0,5
dungeons &amp; dragons online®,0.0,206480,0,0,0,5,0,5
tom clancy's ghost recon: future soldier™,19.99,212630,1,0,0,2,0,2
quantum conundrum,8.99,200010,0,0,0,4,0,4
tribes: ascend,0.0,17080,1,0,0,55,8,52
tribes: ascend,0.0,17080,0,0,1,55,8,52
foreign legion: multi massacre,6.99,205550,1,0,0,0,0,1
foreign legion: multi massacre,6.99,205550,0,0,0,0,0,1
a virus named tom,9.99,207650,1,0,0,2,0,3
a virus named tom,9.99,207650,0,0,0,2,0,3
exceed 3rd - jade penetrate black package,5.99,207400,1,0,0,1,0,1
hero academy,4.99,209270,0,0,0,2,0,3
galaxy on fire 2™ full hd,7.99,212010,1,0,0,0,1,0
galaxy on fire 2™ full hd,7.99,212010,0,0,0,0,1,0
counter-strike: global offensive,14.99,730,1,0,0,2788,426,2550
star wars™ knights of the old republic™ ii - the sith lords™,9.99,208580,0,0,0,10,1,9
closure,9.99,72000,0,0,0,2,0,2
batman: arkham city - game of the year edition,19.99,200260,1,0,0,74,9,65
batman: arkham city - game of the year edition,19.99,200260,0,1,0,74,9,65
to the moon,9.99,206440,0,1,0,50,9,41
to the moon,9.99,206440,0,0,0,50,9,41
intrusion 2,9.99,214970,1,0,0,1,1,2
intrusion 2,9.99,214970,0,0,0,1,1,2
critter crunch,6.99,61730,1,0,0,1,0,1
critter crunch,6.99,61730,0,0,0,1,0,1
jet set radio,7.99,205950,1,0,0,4,1,4
the testament of sherlock holmes,19.99,205650,0,1,0,3,0,3
carrier command: gaea mission,32.99,65740,1,0,0,1,0,2
carrier command: gaea mission,32.99,65740,0,0,0,1,0,2
cortex command,19.99,209670,1,0,0,9,3,6
cortex command,19.99,209670,0,0,0,9,3,6
bit.trip core,9.99,205060,1,0,0,1,1,0
bit.trip core,9.99,205060,0,0,0,1,1,0
rocketbirds: hardboiled chicken,4.99,215510,0,1,0,2,2,2
rocketbirds: hardboiled chicken,4.99,215510,0,0,0,2,2,2
doom 3: bfg edition,19.99,208200,1,0,0,5,0,5
rocksmith™,29.99,205190,0,0,0,2,0,2
edna &amp; harvey: harvey's new eyes,19.99,219910,0,1,0,1,0,1
edna &amp; harvey: harvey's new eyes,19.99,219910,0,0,0,1,0,1
unity of command: stalingrad campaign,19.99,218090,0,0,0,1,0,1
primal carnage,7.99,215470,1,0,0,20,4,18
primal carnage,7.99,215470,0,0,0,20,4,18
hotline miami,9.99,219150,1,0,0,127,32,95
hotline miami,9.99,219150,0,0,0,127,32,95
guns of icarus online,4.99,209080,1,0,0,70,13,62
guns of icarus online,4.99,209080,0,1,0,70,13,62
guns of icarus online,4.99,209080,0,0,0,70,13,62
postal 2,9.99,223470,1,0,0,75,22,56
postal 2,9.99,223470,0,1,0,75,22,56
postal 2,9.99,223470,0,0,0,75,22,56
chaos on deponia,19.99,220740,0,1,0,1,0,1
chaos on deponia,19.99,220740,0,0,0,1,0,1
puddle,7.99,222140,1,0,0,1,0,1
puddle,7.99,222140,0,0,0,1,0,1
call of duty®: black ops ii,59.99,202970,1,0,0,86,13,85
miasmata,14.99,223510,1,0,0,1,0,1
miasmata,14.99,223510,0,1,0,1,0,1
miasmata,14.99,223510,0,0,0,1,0,1
mabinogi,0.0,212200,1,0,0,6,5,4
mabinogi,0.0,212200,0,1,0,6,5,4
mabinogi,0.0,212200,0,0,0,6,5,4
mabinogi,0.0,212200,0,0,1,6,5,4
iron sky: invasion,19.99,224900,1,0,0,1,0,1
iron sky: invasion,19.99,224900,0,0,0,1,0,1
sacred 2 gold,14.99,225640,0,0,0,1,0,1
primal fears,9.99,211280,1,0,0,0,1,0
primal fears,9.99,211280,0,0,0,0,1,0
fieldrunners 2,9.99,215710,1,0,0,1,0,1
fieldrunners 2,9.99,215710,0,0,0,1,0,1
strike suit zero,19.99,209540,1,0,0,5,0,6
strike suit zero,19.99,209540,0,0,0,5,0,6
the cave,14.99,221810,0,1,0,2,0,2
ace combat assault horizon - enhanced edition,19.99,228400,1,0,0,4,0,4
ace combat assault horizon - enhanced edition,19.99,228400,0,0,0,4,0,4
dmc: devil may cry,29.99,220440,1,0,0,17,5,12
dmc: devil may cry,29.99,220440,0,1,0,17,5,12
cities xl platinum,9.99,231140,0,0,0,3,0,3
super house of dead ninjas,6.99,224820,1,0,0,7,3,4
super house of dead ninjas,6.99,224820,0,0,0,7,3,4
monster loves you!,9.99,226740,0,1,0,5,0,5
monster loves you!,9.99,226740,0,0,0,5,0,5
retro/grade,9.99,222660,1,0,0,1,0,1
retro/grade,9.99,222660,0,0,0,1,0,1
trials evolution: gold edition,19.99,220160,1,0,0,9,2,9
